alpha,sigma2,MAE,RMSE,R2_test
0.01,2.5389290945000003,0.8370447338823298,1.242974179594274,0.9691244617150105
0.01,5.0778581890000005,0.8370519251509169,1.2429530555732053,0.9691255111494876
0.01,25.389290945,0.8371036487012682,1.242784680140309,0.9691338753484364
0.01,50.77858189,0.8371542728257265,1.2425749573985283,0.9691442919269461
0.1,2.5389290945000003,0.8371036490514479,1.2427846803018696,0.9691338753404113
0.1,5.0778581890000005,0.8371542735037143,1.2425749577168381,0.9691442919111375
0.1,25.389290945,0.8374080087584724,1.2409186283953766,0.9692264972561618
0.1,50.77858189,0.8377191173330756,1.2390280974160335,0.9693201922686479
1.0,2.5389290945000003,0.837408009071522,1.2409186285059985,0.9692264972506752
1.0,5.0778581890000005,0.8377191178786566,1.2390280975346388,0.9693201922627743
1.0,25.389290945,0.8417440806427651,1.232425296312917,0.9696463074103677
1.0,50.77858189,0.8504661721876744,1.235182330595126,0.969510348212432
10.0,2.5389290945000003,0.8417440807440169,1.2324252962713513,0.9696463074124152
10.0,5.0778581890000005,0.8504661724007456,1.2351823305139567,0.9695103482164392
10.0,25.389290945,0.9343777070754907,1.3108733926152702,0.9656590883194613
10.0,50.77858189,1.0176249247517601,1.3977270032879425,0.9609577323148983
100.0,2.5389290945000003,0.934377707218615,1.3108733926331912,0.9656590883185223
100.0,5.0778581890000005,1.0176249249765728,1.397727003360729,0.960957732310832
100.0,25.389290945,1.4012903333774525,1.8376815428045736,0.9325113360789296
100.0,50.77858189,1.7363147107182777,2.24023212095301,0.8997056741430458
